Well,Sample,Target,Cq
C18,48,SlWAK1,24.593661340224465
D1,06,SlAct,21.517983686054357
D2,06,SlAct,21.936413429423567
D3,06,SlAct,21.19276485123233
D4,23,SlAct,18.68654891445367
D5,23,SlAct,18.388635156893173
D6,23,SlAct,18.475538986497742
D7,06,SlFLS3,19.27407552373925
D8,06,SlFLS3,18.615531734298425
D9,06,SlFLS3,17.786036124636702
D10,23,SlFLS3,16.591448005640267
D11,23,SlFLS3,17.487238417604395
D12,23,SlFLS3,17.164750572005435
D13,06,SlWAK1,32.86876609126841
D14,06,SlWAK1,33.08138490883452
D15,06,SlWAK1,32.17006484982079
D16,23,SlWAK1,19.83364119114345
D17,23,SlWAK1,20.05079451475991
D18,23,SlWAK1,19.961242693079328
E1,59,SlAct,18.07076067666339
E2,59,SlAct,18.323359880178742
E3,59,SlAct,18.02353919450738
E4,53,SlAct,17.99277157969459
E5,53,SlAct,17.574716085081512
E6,53,SlAct,17.48341297668491
E7,59,SlFLS3,21.49983587845954
E8,59,SlFLS3,18.049818155579477
E9,59,SlFLS3,20.40374733193072
E10,53,SlFLS3,20.655154281087754
E11,53,SlFLS3,21.089465660218067
E12,53,SlFLS3,21.195460624518848
E13,59,SlWAK1,28.214679386755463
E14,59,SlWAK1,28.090103202269265
E15,59,SlWAK1,28.076207542308055
E16,53,SlWAK1,27.690549934629047
E17,53,SlWAK1,27.59208268135133
E18,53,SlWAK1,27.24555293521201
F1,29,SlAct,19.358468525086455
F2,29,SlAct,19.5519375995557
F3,29,SlAct,19.33684363612341
F4,18,SlAct,20.993412112873557
F5,18,SlAct,21.12636965234926
F6,18,SlAct,21.32226995678723
F7,29,SlFLS3,19.13367433653212
F8,29,SlFLS3,18.757163125950996
F9,29,SlFLS3,18.842580577999986
F10,18,SlFLS3,19.338539384557723
F11,18,SlFLS3,17.88139161212649
F12,18,SlFLS3,17.63319095042074
F13,29,SlWAK1,20.813169727100153
F14,29,SlWAK1,20.92450438417532
F15,29,SlWAK1,20.900260444748724
F16,18,SlWAK1,26.83084480730554
